value,id
416,function
376,mean
58,regression
230,prediction
170,linear
275,package
157,coefficient
35,estimation
263,distributions
146,analysis
161,dataset
230,matrix
343,time-series
130,normalization
56,variance
127,forecasting
120,anova
78,arima
81,binomial
64,deviance
86,lmer
132,correlation
129,clustering
78,logistic
66,median
88,aic
94,probability
50,optimal 
66,transform
